Month,Weekday,Date, Search from Popular Search, Popular Search from Homepage
October,Mon,13-10-21,2,0
October,Tue,13-10-22,22,11
October,Wed,13-10-23,5,1
October,Thu,13-10-24,16,5
October,Fri,13-10-25,12,8
October,Sat,13-10-26,0,0
October,Sun,13-10-27,1,0
October,Mon,13-10-28,3,0
October,Tue,13-10-29,9,2
October,Wed,13-10-30,6,1
October,Thu,13-10-31,10,3
November,Fri,13-11-01,5,2
November,Sat,13-11-02,0,0
November,Sun,13-11-03,3,0
November,Mon,13-11-04,5,0
November,Tue,13-11-05,16,2
November,Wed,13-11-06,3,0
November,Thu,13-11-07,6,1
November,Fri,13-11-08,6,3
November,Sat,13-11-09,2,0
November,Sun,13-11-10,2,0
November,Mon,13-11-11,3,0
November,Tue,13-11-12,2,1
November,Wed,13-11-13,5,1
November,Thu,13-11-14,11,5
November,Fri,13-11-15,9,1
November,Sat,13-11-16,0,0
November,Sun,13-11-17,1,0
November,Mon,13-11-18,13,5
November,Tue,13-11-19,22,11
November,Wed,13-11-20,18,1
November,Thu,13-11-21,10,0
November,Fri,13-11-22,3,1
November,Sat,13-11-23,2,0
November,Sun,13-11-24,2,2
November,Mon,13-11-25,6,1
November,Tue,13-11-26,8,1
November,Wed,13-11-27,2,0
November,Thu,13-11-28,0,0
November,Fri,13-11-29,0,0
November,Sat,13-11-30,0,0
December,Sun,13-12-01,0,0
December,Mon,13-12-02,9,3
December,Tue,13-12-03,4,1
December,Wed,13-12-04,9,0
December,Thu,13-12-05,2,0
December,Fri,13-12-06,4,1
December,Sat,13-12-07,0,0
December,Sun,13-12-08,0,0
December,Mon,13-12-09,4,1
December,Tue,13-12-10,10,0
December,Wed,13-12-11,12,5
December,Thu,13-12-12,4,0
December,Fri,13-12-13,3,1
December,Sat,13-12-14,0,0
December,Sun,13-12-15,1,0
December,Mon,13-12-16,5,0
December,Tue,13-12-17,7,0
December,Wed,13-12-18,1,0
December,Thu,13-12-19,4,0
December,Fri,13-12-20,0,0
December,Sat,13-12-21,3,0
December,Sun,13-12-22,0,0
December,Mon,13-12-23,1,0
December,Tue,13-12-24,0,0
December,Wed,13-12-25,0,0
December,Thu,13-12-26,0,0
December,Fri,13-12-27,0,0
December,Sat,13-12-28,3,0
December,Sun,13-12-29,0,0
December,Mon,13-12-30,0,0
December,Tue,13-12-31,0,0
January,Wed,14-01-01,0,0
January,Thu,14-01-02,3,0
January,Fri,14-01-03,2,0
January,Sat,14-01-04,0,0
January,Sun,14-01-05,0,0
January,Mon,14-01-06,3,0
January,Tue,14-01-07,1,0
January,Wed,14-01-08,61,10
January,Thu,14-01-09,11,0
January,Fri,14-01-10,5,1
January,Sat,14-01-11,0,0
January,Sun,14-01-12,2,1
January,Mon,14-01-13,14,9
January,Tue,14-01-14,16,7
January,Wed,14-01-15,7,3
January,Thu,14-01-16,11,1
January,Fri,14-01-17,10,5
January,Sat,14-01-18,1,1
January,Sun,14-01-19,6,1
January,Mon,14-01-20,2,0
January,Tue,14-01-21,4,1
January,Wed,14-01-22,1,1
January,Thu,14-01-23,3,0
January,Fri,14-01-24,3,2
January,Sat,14-01-25,5,5
January,Sun,14-01-26,3,0
January,Mon,14-01-27,6,4
January,Tue,14-01-28,16,2
January,Wed,14-01-29,9,2
January,Thu,14-01-30,12,5
January,Fri,14-01-31,17,9
February,Sat,14-02-01,0,0
February,Sun,14-02-02,0,0
February,Mon,14-02-03,13,2
February,Tue,14-02-04,15,5
February,Wed,14-02-05,2,0
February,Thu,14-02-06,28,11
February,Fri,14-02-07,14,7
February,Sat,14-02-08,0,0
February,Sun,14-02-09,2,0
February,Mon,14-02-10,10,8
February,Tue,14-02-11,6,1
February,Wed,14-02-12,3,0
February,Thu,14-02-13,9,0
February,Fri,14-02-14,0,0
February,Sat,14-02-15,0,0
February,Sun,14-02-16,2,0
February,Mon,14-02-17,4,2
February,Tue,14-02-18,10,4
February,Wed,14-02-19,8,2
February,Thu,14-02-20,5,2
February,Fri,14-02-21,4,2
February,Sat,14-02-22,1,0
February,Sun,14-02-23,5,2
February,Mon,14-02-24,12,3
February,Tue,14-02-25,13,0
February,Wed,14-02-26,3,0
February,Thu,14-02-27,4,3
February,Fri,14-02-28,1,0
March,Sat,14-03-01,0,0
March,Sun,14-03-02,2,2
March,Mon,14-03-03,1,0
March,Tue,14-03-04,13,3
March,Wed,14-03-05,2,0
March,Thu,14-03-06,5,1
March,Fri,14-03-07,13,8
March,Sat,14-03-08,0,0
March,Sun,14-03-09,1,0
March,Mon,14-03-10,5,1
March,Tue,14-03-11,9,3
March,Wed,14-03-12,12,3
